kod;ust_kod;baslik;metin;sira;seviye;zorunluluk_tipi
EAG-43;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;42;1;
EAG-44;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;43;2;
EAG-45;AILE-01;Endüstriyel Ağlarda Saldırı Tespiti/İzleme;;44;1;
EAG-46;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;45;2;
EAG-47;AILE-01;Endüstriyel Ağ İzolasyonu ve Segmentasyonu;;46;;
EAG-48;AILE-01;Politika, Prosedür, Süreç;;47;1;
EAG-49;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;48;2;
EAG-50;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;49;2;
EAG-51;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;50;2;
EAG-52;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;51;1;
EAG-53;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;52;2;
EAG-54;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;53;2;
EAG-55;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;54;2;
EAG-56;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;55;2;
EAG-57;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;56;2;
EAG-58;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;57;2;
EAG-59;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;58;2;
EAG-60;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;59;2;
EAG-61;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;60;2;
EAG-62;AILE-01;Dijital İkiz Sistemlerinin Güvenliği;;61;2;
EAG-63;AILE-01;Endüstriyel Kablosuz Ağ Güvenliği;;62;2;
EAG-64;AILE-01;Endüstriyel Kablosuz Ağ Güvenliği;;63;2;
EAG-65;AILE-01;Endüstriyel Kablosuz Ağ Güvenliği;;64;2;
EAG-66;AILE-01;Endüstriyel Kablosuz Ağ Güvenliği;;65;2;
EAG-67;AILE-01;Endüstriyel Kablosuz Ağ Güvenliği;;66;2;
EAG-68;AILE-01;Endüstriyel Kablosuz Ağ Güvenliği;;67;2;
EAG-69;AILE-01;Endüstriyel Kablosuz Ağ Güvenliği;;68;2;
EAG-70;AILE-01;Endüstriyel Kablosuz Ağ Güvenliği;;69;2;
EAG-71;AILE-01;Harici Sistemlerinin Entegrasyonu;;70;2;
EAG-72;AILE-01;Harici Sistemlerinin Entegrasyonu;;71;2;
EAG-73;AILE-01;Harici Sistemlerinin Entegrasyonu;;72;2;
EAG-74;AILE-01;Harici Sistemlerinin Entegrasyonu;;73;2;
EAG-75;AILE-01;Harici Sistemlerinin Entegrasyonu;;74;2;
EAG-76;AILE-01;Büyük Veri Analitiği Sistemlerinin Entegrasyonu;;75;2;
EAG-77;AILE-01;Büyük Veri Analitiği Sistemlerinin Entegrasyonu;;76;2;
EAG-78;AILE-01;Büyük Veri Analitiği Sistemlerinin Entegrasyonu;;77;2;
EAG-79;AILE-01;Büyük Veri Analitiği Sistemlerinin Entegrasyonu;;78;1;
EAG-80;AILE-01;Büyük Veri Analitiği Sistemlerinin Entegrasyonu;;79;2;
EAG-81;AILE-01;Endüstriyel Ağlarda Merkezi Yönetim;;80;1;
EAG-82;AILE-01;Endüstriyel Ağlarda Merkezi Yönetim;;81;2;
EAG-83;AILE-01;Endüstriyel Ağlarda Merkezi Yönetim;;82;2;
EAG-84;AILE-01;Endüstriyel Ağlarda Merkezi Yönetim;;83;1;
EAG-85;AILE-01;Endüstriyel Ağlarda Merkezi Yönetim;;84;2;
AILE-02;;İstemci ve Sunucu Güvenliği;;1;;
İSG-1;AILE-02;Politika, Prosedür, Süreç;;0;1;
İSG-2;AILE-02;Politika, Prosedür, Süreç;;1;1;
İSG-3;AILE-02;Harici Medya Güvenliği;;2;1;
İSG-4;AILE-02;Harici Medya Güvenliği;;3;1;
İSG-5;AILE-02;Harici Medya Güvenliği;;4;;
İSG-6;AILE-02;İstemci ve Sunucularda Olay Tespiti ve Yönetimi;;5;1;
İSG-7;AILE-02;Mobil Cihaz Güvenliği;;6;2;
İSG-8;AILE-02;İstemci ve Sunucu Operasyon Güvenliği;;7;1;
İSG-9;AILE-02;Veri Koruma;;8;;
İSG-10;AILE-02;İstemci ve Sunucularda Güvenli Konfigürasyon;;9;1;
İSG-11;AILE-02;Zararlı Yazılımlardan Korunma;;10;1;
İSG-12;AILE-02;Zararlı Yazılımlardan Korunma;;11;2;
İSG-13;AILE-02;İstemci ve Sunucularda Güvenli Konfigürasyon;;12;1;
İSG-14;AILE-02;İstemci ve Sunucularda Güvenli Konfigürasyon;;13;1;
İSG-15;AILE-02;İstemci ve Sunucularda Güvenli Konfigürasyon;;14;2;
İSG-16;AILE-02;İstemci ve Sunucu Operasyon Güvenliği;;15;1;
İSG-17;AILE-02;İstemci ve Sunucularda Olay Tespiti ve Yönetimi;;16;1;
İSG-18;AILE-02;GPS Güvenliği;;17;;
İSG-19;AILE-02;Zararlı Yazılımlardan Korunma;;18;2;
İSG-20;AILE-02;Zararlı Yazılımlardan Korunma;;19;1;
İSG-21;AILE-02;İstemci ve Sunucularda Güncelleme/Yama Yönetimi;;20;1;
İSG-22;AILE-02;İstemci ve Sunucularda Güncelleme/Yama Yönetimi;;21;2;
İSG-23;AILE-02;İstemci ve Sunucularda Güvenli Konfigürasyon;;22;1;
İSG-24;AILE-02;İstemci ve Sunucularda Güvenli Konfigürasyon;;23;1;
İSG-25;AILE-02;İstemci ve Sunucularda Güvenli Konfigürasyon;;24;1;
İSG-26;AILE-02;Veri Koruma;;25;1;
İSG-27;AILE-02;Beyaz Liste Uygulamaları;;26;;
İSG-28;AILE-02;OT Domain Güvenliği;;27;2;
İSG-29;AILE-02;OT Domain Güvenliği;;28;2;
İSG-30;AILE-02;OT Domain Güvenliği;;29;1;
İSG-31;AILE-02;OT Domain Güvenliği;;30;1;
İSG-32;AILE-02;OT Domain Güvenliği;;31;1;
İSG-33;AILE-02;OT Domain Güvenliği;;32;2;
İSG-34;AILE-02;OT Domain Güvenliği;;33;2;
İSG-35;AILE-02;OT Domain Güvenliği;;34;2;
İSG-36;AILE-02;OT Domain Güvenliği;;35;2;
İSG-37;AILE-02;OT Domain Güvenliği;;36;1;
İSG-38;AILE-02;OT Domain Güvenliği;;37;1;
İSG-39;AILE-02;OT Domain Güvenliği;;38;2;
İSG-40;AILE-02;OT Domain Güvenliği;;39;2;
İSG-41;AILE-02;OT Domain Güvenliği;;40;2;
İSG-42;AILE-02;OT Domain Güvenliği;;41;2;
İSG-43;AILE-02;OT Domain Güvenliği;;42;2;
İSG-44;AILE-02;OT Domain Güvenliği;;43;2;
İSG-45;AILE-02;HMI Güvenliği;;44;2;
İSG-46;AILE-02;HMI Güvenliği;;45;1;
İSG-47;AILE-02;OT Sanallaştırma Güvenliği;;46;2;
İSG-48;AILE-02;OT Sanallaştırma Güvenliği;;47;3;
İSG-49;AILE-02;OT Sanallaştırma Güvenliği;;48;;
İSG-50;AILE-02;OT Sanallaştırma Güvenliği;;49;2;
İSG-51;AILE-02;OT Sanallaştırma Güvenliği;;50;2;
İSG-52;AILE-02;OT Sanallaştırma Güvenliği;;51;2;
İSG-53;AILE-02;OT Sanallaştırma Güvenliği;;52;2;
İSG-54;AILE-02;OT Sanallaştırma Güvenliği;;53;2;
İSG-55;AILE-02;OT Sanallaştırma Güvenliği;;54;2;
İSG-56;AILE-02;OT Sanallaştırma Güvenliği;;55;2;
İSG-57;AILE-02;OT Sanallaştırma Güvenliği;;56;2;
İSG-58;AILE-02;OT Sanallaştırma Güvenliği;;57;2;
İSG-59;AILE-02;OT Sanallaştırma Güvenliği;;58;2;
İSG-60;AILE-02;OT Sanallaştırma Güvenliği;;59;2;
İSG-61;AILE-02;OT Sanallaştırma Güvenliği;;60;2;
İSG-62;AILE-02;OT Sanallaştırma Güvenliği;;61;2;
İSG-63;AILE-02;OT Sanallaştırma Güvenliği;;62;;
İSG-64;AILE-02;OT Sanallaştırma Güvenliği;;63;2;
İSG-65;AILE-02;Harici Sistemlerinin Güvenliği;;64;2;
İSG-66;AILE-02;Harici Sistemlerinin Güvenliği;;65;2;
İSG-67;AILE-02;Harici  Sistemlerinin Güvenliği;;66;2;
İSG-68;AILE-02;Harici Sistemlerinin Güvenliği;;67;2;
İSG-69;AILE-02;Harici Sistemlerinin Güvenliği;;68;2;
İSG-70;AILE-02;Endüstriyel Ağlarda Merkezi Yönetim;;69;1;
İSG-71;AILE-02;Endüstriyel Ağlarda Merkezi Yönetim;;70;2;
AILE-03;;Tehdit ve Zafiyet Yönetimi;;2;;
TZY-1;AILE-03;Politika, Prosedür, Süreç;;0;1;
TZY-2;AILE-03;Endüstriyel Tehdit İstihbaratı Yönetimi;;1;2;
TZY-3;AILE-03;Endüstriyel Tehdit İstihbaratı Yönetimi;;2;1;
TZY-4;AILE-03;Endüstriyel Tehdit İstihbaratı Yönetimi;;3;1;
TZY-5;AILE-03;Endüstriyel Tehdit İstihbaratı Yönetimi;;4;1;
TZY-6;AILE-03;Endüstriyel Tehdit İstihbaratı Yönetimi;;5;1;
TZY-7;AILE-03;Endüstriyel Zafiyet Yönetimi;;6;1;
TZY-8;AILE-03;Endüstriyel Zafiyet Yönetimi;;7;1;
TZY-9;AILE-03;Endüstriyel Zafiyet Yönetimi;;8;1;
TZY-10;AILE-03;Endüstriyel Zafiyet Yönetimi;;9;1;
TZY-11;AILE-03;Endüstriyel Zafiyet Yönetimi;;10;1;
TZY-12;AILE-03;Endüstriyel Zafiyet Yönetimi;;11;1;
TZY-13;AILE-03;Endüstriyel Zafiyet Yönetimi;;12;1;
TZY-14;AILE-03;Politika, Prosedür, Süreç;;13;1;
TZY-15;AILE-03;Politika, Prosedür, Süreç;;14;1;
TZY-16;AILE-03;Politika, Prosedür, Süreç;;15;1;
TZY-17;AILE-03;Endüstriyel Tehdit İstihbaratı Yönetimi;;16;2;
TZY-18;AILE-03;Endüstriyel Tehdit İstihbaratı Yönetimi;;17;2;
TZY-19;AILE-03;Endüstriyel Tehdit İstihbaratı Yönetimi;;18;2;
TZY-20;AILE-03;Endüstriyel Tehdit İstihbaratı Yönetimi;;19;2;
TZY-21;AILE-03;Endüstriyel Tehdit Tespiti;;20;2;
TZY-22;AILE-03;Endüstriyel Tehdit Tespiti;;21;2;
TZY-23;AILE-03;Endüstriyel Zafiyet Yönetimi;;22;1;
TZY-24;AILE-03;Endüstriyel Zafiyet Yönetimi;;23;1;
TZY-25;AILE-03;Endüstriyel Zafiyet Yönetimi;;24;1;
TZY-26;AILE-03;Endüstriyel Zafiyet Yönetimi;;25;1;
TZY-27;AILE-03;Endüstriyel Zafiyet Yönetimi;;26;1;
TZY-28;AILE-03;Endüstriyel Zafiyet Yönetimi;;27;1;
TZY-29;AILE-03;Endüstriyel Zafiyet Yönetimi;;28;1;
TZY-30;AILE-03;Endüstriyel Zafiyet Yönetimi;;29;1;
TZY-31;AILE-03;Endüstriyel Zafiyet Yönetimi;;30;1;
TZY-32;AILE-03;Endüstriyel Zafiyet Yönetimi;;31;2;
AILE-04;;Endüstriyel Risk Yönetimi;;3;;
ERY-1;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi Stratejisi;;0;1;
ERY-2;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi Stratejisi;;1;1;
ERY-3;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;2;1;
ERY-4;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;3;1;
ERY-5;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;4;1;
ERY-6;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;5;1;
ERY-7;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;6;1;
ERY-8;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;7;1;
ERY-9;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;8;1;
ERY-10;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;9;1;
ERY-11;AILE-04;Politika, Prosedür, Süreç;;10;1;
ERY-12;AILE-04;Politika, Prosedür, Süreç;;11;1;
ERY-13;AILE-04;Politika, Prosedür, Süreç;;12;1;
ERY-14;AILE-04;Politika, Prosedür, Süreç;;13;1;
ERY-15;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;14;1;
ERY-16;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;15;1;
ERY-17;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;16;1;
ERY-18;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;17;1;
ERY-19;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;18;1;
ERY-20;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;19;1;
ERY-21;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;20;1;
ERY-22;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;21;1;
ERY-23;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;22;1;
ERY-24;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;23;1;
ERY-25;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;24;1;
ERY-26;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;25;1;
ERY-27;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;26;1;
ERY-28;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;27;1;
ERY-29;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;28;1;
ERY-30;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;29;1;
ERY-31;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;30;1;
ERY-32;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;31;1;
ERY-33;AILE-04;Endüstriyel Siber Güvenlik Risk Yönetimi;;32;1;
AILE-05;;Varlık ve Konfigürasyon;;4;;
VKY-1;AILE-05;EKS Varlık Yönetimi;;0;1;
VKY-2;AILE-05;EKS Varlık Yönetimi;;1;1;
VKY-3;AILE-05;EKS Varlık Yönetimi;;2;1;
VKY-4;AILE-05;EKS Varlık Yönetimi;;3;1;
VKY-5;AILE-05;EKS Varlık Yönetimi;;4;2;
VKY-6;AILE-05;EKS Varlık Yönetimi;;5;1;
VKY-7;AILE-05;Bilgi Varlığı Envanteri Yönetimi;;6;2;
VKY-8;AILE-05;Varlık Konfigürasyon Yönetimi;;7;1;
VKY-9;AILE-05;Varlık Konfigürasyon Yönetimi;;8;2;
VKY-10;AILE-05;Varlık Konfigürasyon Yönetimi;;9;2;
VKY-11;AILE-05;Varlık Konfigürasyon Yönetimi;;10;1;
VKY-12;AILE-05;Varlık Değişikliklerinin Yönetimi;;11;1;
VKY-13;AILE-05;Varlık Değişikliklerinin Yönetimi;;12;1;
VKY-14;AILE-05;Varlık Değişikliklerinin Yönetimi;;13;1;
VKY-15;AILE-05;Politika, Prosedür, Süreç;;14;1;
AILE-06;;Kimlik ve Erişim Yönetimi;;5;;
KEY-1;AILE-06;Parola Yönetimi;;0;2;
KEY-2;AILE-06;Parola Yönetimi;;1;2;
KEY-3;AILE-06;Erişim ve Yetki Yönetimi;;2;2;
KEY-4;AILE-06;Erişim ve Yetki Yönetimi;;3;;
KEY-5;AILE-06;Erişim ve Yetki Yönetimi;;4;2;
KEY-6;AILE-06;Erişim ve Yetki Yönetimi;;5;;
KEY-7;AILE-06;Hesap Yönetimi;;6;;
KEY-8;AILE-06;Hesap Yönetimi;;7;1;
KEY-9;AILE-06;Erişim ve Yetki Yönetimi;;8;2;
KEY-10;AILE-06;Erişim ve Yetki Yönetimi;;9;2;
KEY-11;AILE-06;Parola Yönetimi;;10;2;
KEY-12;AILE-06;Parola Yönetimi;;11;2;
KEY-13;AILE-06;Parola Yönetimi;;12;2;
KEY-14;AILE-06;Uzak Erişim Hesap Güvenliği;;13;2;
KEY-15;AILE-06;Uzak Erişim Hesap Güvenliği;;14;2;
KEY-16;AILE-06;Uzak Erişim Hesap Güvenliği;;15;2;
KEY-17;AILE-06;Uzak Erişim Hesap Güvenliği;;16;2;
KEY-18;AILE-06;Uzak Erişim Hesap Güvenliği;;17;2;
KEY-19;AILE-06;Uzak Erişim Hesap Güvenliği;;18;2;
AILE-07;;Olay Yönetimi ve Süreklilik;;6;;
OYS-1;AILE-07;Olay Müdahale ve Cevap Verme;;0;1;
OYS-2;AILE-07;Olay Müdahale ve Cevap Verme;;1;1;
OYS-3;AILE-07;Olay Müdahale ve Cevap Verme;;2;1;
OYS-4;AILE-07;Olay Müdahale ve Cevap Verme;;3;1;
OYS-5;AILE-07;Olay Müdahale ve Cevap Verme;;4;2;
OYS-6;AILE-07;Olay Müdahale ve Cevap Verme;;5;2;
OYS-7;AILE-07;Olay Müdahale ve Cevap Verme;;6;2;
OYS-8;AILE-07;Olay Müdahale ve Cevap Verme;;7;2;
OYS-9;AILE-07;Olay Müdahale ve Cevap Verme;;8;;
OYS-10;AILE-07;Olay Müdahale ve Cevap Verme;;9;1;
OYS-11;AILE-07;Olay Müdahale ve Cevap Verme;;10;2;
OYS-12;AILE-07;Olay Müdahale ve Cevap Verme;;11;1;
OYS-13;AILE-07;Olay Müdahale ve Cevap Verme;;12;1;
OYS-14;AILE-07;Olay Müdahale ve Cevap Verme;;13;1;
OYS-15;AILE-07;Olay Müdahale ve Cevap Verme;;14;1;
OYS-16;AILE-07;Olay Müdahale ve Cevap Verme;;15;1;
OYS-17;AILE-07;Olay Müdahale ve Cevap Verme;;16;1;
OYS-18;AILE-07;Olay Müdahale ve Cevap Verme;;17;3;
OYS-19;AILE-07;Olay Müdahale ve Cevap Verme;;18;1;
OYS-20;AILE-07;Olay Müdahale ve Cevap Verme;;19;1;
OYS-21;AILE-07;Olay Müdahale Planı;;20;1;
OYS-22;AILE-07;Olay İzleme;;21;2;
OYS-23;AILE-07;Olay Raporlama;;22;1;
OYS-24;AILE-07;Olay Raporlama;;23;1;
OYS-25;AILE-07;Siber Güvenlik Olaylarını Tespit Etme;;24;1;
OYS-26;AILE-07;Siber Güvenlik Olaylarını Tespit Etme;;25;1;
OYS-27;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;26;2;
OYS-28;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;27;2;
OYS-29;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;28;2;
OYS-30;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;29;2;
OYS-31;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;30;2;
OYS-32;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;31;2;
OYS-33;AILE-07;Endüstriyel Alarm ve Log Yönetimi;;32;3;
OYS-34;AILE-07;Endüstriyel Alarm ve Log Yönetimi;;33;3;
OYS-35;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;34;3;
OYS-36;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;35;3;
OYS-37;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;36;3;
OYS-38;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;37;;
OYS-39;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;38;;
OYS-40;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;39;;
OYS-41;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;40;2;
OYS-42;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;41;2;
OYS-43;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;42;2;
OYS-44;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;43;2;
OYS-45;AILE-07;Endüstriyel Siber Güvenlik Log Yönetimi;;44;;
OYS-46;AILE-07;Siber Güvenlik Olaylarını Tespit Etme;;45;2;
OYS-47;AILE-07;Siber Güvenlik Olaylarını Analiz Etme ve Bildirme;;46;1;
OYS-48;AILE-07;Siber Güvenlik Olaylarını Analiz Etme ve Bildirme;;47;2;
OYS-49;AILE-07;Siber Güvenlik Olaylarını Analiz Etme ve Bildirme;;48;1;
OYS-50;AILE-07;Siber Güvenlik Olaylarını Analiz Etme ve Bildirme;;49;1;
OYS-51;AILE-07;Olay Yönetiminde İş Sürekliliği;;50;1;
OYS-52;AILE-07;Yedekleme ve Yedeklilik;;51;2;
OYS-53;AILE-07;Yedekleme ve Yedeklilik;;52;2;
OYS-54;AILE-07;Yedekleme ve Yedeklilik;;53;2;
OYS-55;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;54;1;
OYS-56;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;55;1;
OYS-57;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;56;1;
OYS-58;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;57;1;
OYS-59;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;58;1;
OYS-60;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;59;1;
OYS-61;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;60;1;
OYS-62;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;61;1;
OYS-63;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;62;1;
OYS-64;AILE-07;Siber Güvenlik Olay Yönetimi ve İş Sürekliliği;;63;;
OYS-65;AILE-07;Yedekleme ve Yedeklilik;;64;2;
OYS-66;AILE-07;Yedekleme ve Yedeklilik;;65;3;
OYS-67;AILE-07;Yedekleme ve Yedeklilik;;66;;
OYS-68;AILE-07;Yedekleme ve Yedeklilik;;67;;
OYS-69;AILE-07;Acil Durum Yönetimi;;68;2;
OYS-70;AILE-07;Acil Durum Yönetimi;;69;2;
OYS-71;AILE-07;Acil Durum Yönetimi;;70;2;
OYS-72;AILE-07;Acil Durum Yönetimi;;71;2;
OYS-73;AILE-07;Acil Durum Yönetimi;;72;2;
OYS-74;AILE-07;Acil Durum Yönetimi;;73;2;
OYS-75;AILE-07;Acil Durum Yönetimi;;74;2;
OYS-76;AILE-07;Acil Durum Yönetimi;;75;2;
OYS-77;AILE-07;Acil Durum Yönetimi;;76;2;
OYS-78;AILE-07;Acil Durum Yönetimi;;77;2;
OYS-79;AILE-07;Acil Durum Yönetimi;;78;2;
OYS-80;AILE-07;Acil Durum Yönetimi;;79;2;
OYS-81;AILE-07;Acil Durum Yönetimi;;80;;
AILE-08;;Akıllı Cihaz Güvenliği;;7;;
ACG-1;AILE-08;Tedarik Zinciri Güvenliği;;0;1;
ACG-2;AILE-08;Tedarik Zinciri Güvenliği;;1;1;
ACG-3;AILE-08;Tedarik Zinciri Güvenliği;;2;1;
ACG-4;AILE-08;Tedarik Zinciri Güvenliği;;3;2;
ACG-5;AILE-08;Tedarik Zinciri Güvenliği;;4;2;
ACG-6;AILE-08;Tedarik Zinciri Güvenliği;;5;2;
ACG-7;AILE-08;Tedarik Zinciri Güvenliği;;6;;
ACG-8;AILE-08;Tedarik Zinciri Güvenliği;;7;;
ACG-9;AILE-08;Tedarik Zinciri Güvenliği;;8;;
ACG-10;AILE-08;Akıllı Sayaçlarda Log/Kayıt Yönetimi;;9;3;
ACG-11;AILE-08;Akıllı Sayaçlarda Log/Kayıt Yönetimi;;10;;
ACG-12;AILE-08;Akıllı Sayaçlarda Log/Kayıt Yönetimi;;11;3;
ACG-13;AILE-08;Akıllı Sayaçlarda Log/Kayıt Yönetimi;;12;;
ACG-14;AILE-08;Akıllı Sayaçlarda Log/Kayıt Yönetimi;;13;;
ACG-15;AILE-08;Akıllı Sayaçlarda Log/Kayıt Yönetimi;;14;1;
