kod;ust_kod;baslik;metin;sira;seviye;zorunluluk_tipi;kanit_beklentisi;dis_kontrol_id;kanit_tipi;kaynak_url;kaynak_yeri;erisim_tarihi;yururluk_tarihi
BOLUM-3;;Üçüncü Bölüm · Yetkinlik Modeli Uygulama, Uyumluluk ve Denetim;;10;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · Üçüncü Bölüm;2026-09-09;
9;BOLUM-3;Uygulama;"(1) Yetkinlik modeli uygulama yükümlülüğü, Kurum tarafından kritiklik dereceleri belirlenip yükümlü kuruluşlara tebliğ edildiğinde başlar.
(2) Yükümlü kuruluşlar, kritiklik dereceleri ve sektörleri özelinde hazırlanmış olan yetkinlik modeli asgari seviye kontrolleri kapsamında yükümlülüklerini gerçekleştirir.
(3) Yükümlü kuruluşlar, hedeflenen tamamlama süresinde uygulamakla yükümlü oldukları kontrolleri değerlendirirken aşağıda yer alan uyum sınıflandırmasını kullanır.
a) Tam uyum: Yetkinlik modeli kapsamında yer alan ana kontrol başlıklarında bulunan her bir kontrol maddesine ilişkin gereksinimin modelde yazıldığı şekilde karşılanması durumudur.
b) Kısmen uyum: Yetkinlik modeli kapsamında yer alan ana kontrol başlıklarında bulunan her bir kontrol maddesine ilişkin gereksinimin tam olarak karşılanamadığı, geçici ya da iyileştirici önlemlerin uygulandığı durumdur.
c) Uyumsuz: Yetkinlik modeli kapsamında yer alan ana kontrol başlıklarında bulunan her bir kontrol maddesine ilişkin gereksinimin hiçbir şekilde karşılanamadığı durumdur.
ç) Kapsam dışı: Yetkinlik modeli kapsamında yer alan alt kontrol başlıklarında birbirine alternatif olabilecek teknoloji veya yöntem bulunması durumunda yükümlü kuruluşta mevcut bulunan teknoloji ve yönteme uygun kontrollerin uygulanması, diğer alternatif teknoloji ve yöntemlere ilişkin kontrol maddelerinin kapsam dışı bırakılması durumudur.
(4) Yükümlü kuruluşlar, yükümlü oldukları kontrol maddelerine hedeflenen tamamlama süresi sonunda tam uyumlu olmak zorundadır.
(5) Kontrollerin uygulanmasında hedeflenen tamamlama süresi, aşağıda adları belirtilen sektörler özelinde hazırlanan ve (Değişik ibare:RG-8/9/2024-32656) Ek-1, Ek-1a, Ek-2, Ek-2a, Ek-3, Ek-3a Ek-4, Ek-5, Ek-6 ile Ek-7’de yer alan yetkinlik modeli dokümanlarında açıklanır:
a) Elektrik Dağıtım Sektörü Siber Güvenlik Yetkinlik Modeli Teknik Kontrol Maddeleri.
b) Doğal Gaz Dağıtım Sektörü Siber Güvenlik Yetkinlik Modeli Teknik Kontrol Maddeleri.
c) (Ek:RG-28/1/2024-32443) Elektrik Üretim Sektörü Siber Güvenlik Yetkinlik Modeli Teknik Kontrol Maddeleri.
ç) (Ek:RG-28/1/2024-32443) Rafineri Sektörü Siber Güvenlik Yetkinlik Modeli Teknik Kontrol Maddeleri.
d) (Ek:RG-8/9/2024-32656) Doğal Gaz Depolama Sektörü Siber Güvenlik Yetkinlik Modeli Teknik Kontrol Maddeleri.
e) (Ek:RG-8/9/2024-32656) Doğal Gaz ve Ham Petrol İletim Sektörü Siber Güvenlik Yetkinlik Modeli Teknik Kontrol Maddeleri.
f) (Ek:RG-8/9/2024-32656) Elektrik İletim Sektörü Siber Güvenlik Yetkinlik Modeli Teknik Kontrol Maddeleri.";11;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 9;2026-09-09;2023-06-06
10;BOLUM-3;Uyumluluk ve denetim;"(1) Yükümlü kuruluşların yetkinlik modeline uyumluluğu üç aşamada gerçekleştirilir. Bu aşamalar şunlardır:
a) Öz denetim/fark analizi: Öz denetimler, yükümlü kuruluşların ilgili kontrol maddelerini kendi iç kaynakları ile denetlemesi sürecidir. Bu aşama, bir fark analizi olarak değerlendirilir. Bu sürecin, yükümlülüklerin başlamasından itibaren üç ay içerisinde tamamlanması gerekir.
b) Sektörel denetim: Sektörel denetimler, Kurumun bu Yönetmelik kapsamında belirlediği şartlara uyan firma ve personeli tarafından gerçekleştirilen çalışmalardır. Bu çalışmalar, bağımsız denetim olarak değerlendirilir.
c) Kurum denetimleri: Kurumun; öz kaynakları ile denetçi firmaları ve yükümlü kuruluşları denetlediği çalışmalardır. Bu çalışmalar çapraz denetim ya da kontrol denetimi olarak değerlendirilir. Kurum, bu denetimleri süreç içerisinde her zaman yapabilir.
(2) Yükümlü kuruluşlar, öz denetim/fark analizini tamamladıktan sonra en geç bir ay içerisinde Kuruma raporlarını Enerji Piyasası Bildirim Sistemi aracılığı ile iletir.
(3) Yükümlü kuruluşlar, her bir yetkinlik seviyesinde yer alan kontroller için; tanımlanan uygulama süreleri sonunda (Ek ibare:RG-28/1/2024-32443) en geç bir ay içerisinde Kuruma ilerleme raporlarını enerji piyasası bildirim sistemi aracılığı ile iletir.
(4) (Değişik:RG-8/9/2024-32656) Yükümlü kuruluşlar, sektörel denetimleri, yetkinlik modeline uygun seviye süreçlerini tamamlamalarından itibaren on iki ay içerisinde yetkilendirilmiş denetim firmalarına yaptırarak, denetim raporlarını en geç bir ay içerisinde Kuruma Enerji Piyasası Bildirim Sistemi aracılığı ile iletir.
(5) Yükümlü kuruluşlar, belirlenen asgari yetkinlik seviyesine ulaşmalarının ardından bu Yönetmelik eklerinde sektörler özelinde hazırlanan yetkinlik modeli dokümanlarında yer alan hedeflenen tamamlama süresi periyotlarında, sektörel denetimlerini tekrarlamak zorundadır.
(6) (Değişik:RG-8/9/2024-32656) Yükümlü kuruluşlar, yetkinlik seviyelerinde yer alan kontroller için danışmanlık hizmeti almaları durumunda yapılacak ilk sektörel denetimi, danışmanlık hizmeti aldıkları firma ile gerçekleştiremez. Öz denetim/fark analizi çalışmaları danışmanlık hizmeti kapsamında değerlendirilmez. Danışmanlık ve sektörel denetim hizmetleri, alt yüklenici kullanmak suretiyle de gerçekleştirilemez.
(7) Sektörel denetim, aynı firma ile üst üste en fazla üç kez gerçekleştirilebilir.";12;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 10;2026-09-09;2023-06-06
11;BOLUM-3;Denetçi firma ve personelinde aranacak nitelikler;"(Başlığı ile Birlikte Değişik:RG-25/11/2025-33088)
(1) Denetim ekibinde en az biri başdenetçi olmak üzere iki kişi bulunur. Ekipte birden fazla başdenetçi olması durumunda başdenetçilerden biri koordinatör olarak görevlendirilir. Denetimin kapsamı ve denetlenen sistemlerin karmaşıklığına bağlı olarak denetim ekibindeki denetçi sayısı artırılabilir.
(2) Denetçi firmanın başdenetçi ve denetçi ünvanlı personelinde aranacak nitelikler aşağıda belirtilmiştir:
a) Üniversitelerin veya denkliği Yükseköğretim Kurulu tarafından kabul edilen yurt dışındaki yüksek öğretim kurumlarının en az dört yıllık lisans programlarını tamamlamış olmak.
b) ISO/IEC 27001 standardının güncel versiyonu doğrultusunda geçerli bir başdenetçi sertifikasına veya geçerliliğini koruyan bir CISA sertifikasına sahip olmak.
c) Bilgi sistemleri denetimi, yönetimi, geliştirilmesi veya güvenliği konularından herhangi birinde ya da birkaçında başdenetçi için en az yedi yıllık, denetçi için en az beş yıllık tam zamanlı mesleki tecrübeye sahip olduğunu resmî hizmet dökümleri, iş deneyim belgeleri veya kurum onaylı referans yazıları ile belgelendirmek.
ç) Kritik Altyapılar Ulusal Test Yatağı Merkezi tarafından verilen EKS eğitimleri sonrası denetim alanında başarı sertifikasına sahip olmak ve bu belgenin geçerliliğini sağlamak.
d) Türkiye Cumhuriyeti vatandaşı olmak ve kamu haklarından mahrum bulunmamak.
e) Adli sicil kaydı ve adli sicil arşiv kaydının bulunmadığını belgelemek.
f) Herhangi bir suçtan dolayı adli soruşturma veya kovuşturma altında olmadığına dair yazılı beyanda bulunmak.
(3) İkinci fıkranın (ç) bendinde aranan yetkinliğin, denetim ekibinde görev alan başdenetçi veya denetçi personelden en az birinde bulunması yeterlidir.
(4) Denetçi firmada aranacak nitelikler aşağıda belirtilmiştir:
a) Firmanın hizmet verdiği ana faaliyet alanı ile denetim faaliyetlerine ilişkin bilgi varlıklarını kapsam dâhiline alan ISO/IEC 27001 Bilgi Güvenliği Yönetim Sistemi (BGYS) standardını uygun bir şekilde işletmek, ISO/IEC 27001 BGYS standardına uygun faaliyet gösterdiğini IAF üyesi bir akreditasyon kuruluşu tarafından akredite edilmiş bir belgelendirme kurumuna ispat ederek sistemlerini belgelendirmek ve söz konusu belgenin geçerliliğini sağlamak.
b) Son beş yıl içerisinde, ISO/IEC 27001 veya benzeri ulusal ya da uluslararası bilgi güvenliği standartları ve düzenlemeleri kapsamında en az beş adet bilgi güvenliği denetimi yapmış olmak.
c) Firma bünyesinde ikinci fıkrada nitelikleri belirtilen başdenetçi ve denetçi ünvanlı personelin tam zamanlı çalıştığını belgelemek.
ç) Firmada çalışan başdenetçi ve denetçi ünvanlı personelin başka bir firmada kısmi zamanlı denetçi olarak istihdam edilmediğini belgelemek.
(5) Denetçi firma ve yükümlü kuruluşun aynı holding çatısı altında yer alan grup şirketleri olması ve/veya aralarında 13/1/2011 tarihli ve 6102 sayılı Türk Ticaret Kanununun 195 inci maddesinde tanımlanan hakim-bağlı şirket ilişkisi bulunması durumunda, denetçi firma yükümlü kuruluşu denetleyemez.
(6) Bir yatırımcının hissedarı olduğu denetim firması, aynı yatırımcının yatırım yaptığı yükümlü kuruluşu denetleyemez.";13;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 11;2026-09-09;2025-11-25
12;BOLUM-3;Denetçi firmanın yetki başvurusu sırasında Kuruma sunması gereken bilgi ve belgeler;(1) Yetkinlik modeli denetimi faaliyetinde bulunmak isteyen firmaların, taleplerini başvuru dilekçesi ile Kuruma iletmeleri gerekir. Kuruma verilecek başvuru dilekçesine 11 inci maddede belirtilen bilgi ve belgeler eklenir.;14;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 12;2026-09-09;2023-06-06
13;BOLUM-3;Denetim yapma yetkisinin verilmesi;"(1) Yetkinlik modeli denetimi yapmak üzere Kuruma başvuruda bulunan firmalar, 12 nci maddede belirtilen bilgi ve belgeler çerçevesinde Kurum tarafından değerlendirilir. Mesleki ve teknik açıdan yeterliliklerinin tespitine yönelik olarak Kurum tarafından yapılacak değerlendirme sonucunda denetim faaliyetlerini yürütebilecek yeterliliğe sahip olduklarının tespit edilmesi halinde firmaya, denetim yapma yetki sertifikası verilir ve bu firma yetkinlik modeli denetim kuruluşları listesine eklenir.
(2) Yetki başvurularının değerlendirilmesi sürecinde, Kurum tarafından gerekli görülmesi halinde ilave bilgi ve belgeler talep edilebilir. Talep edilen bilgi ve belgeler yetkinin verilmesine ilişkin değerlendirmelerde dikkate alınır.
(3) Bu Yönetmelik kapsamında denetim yapma yetkisinin alınmasını sağlayan unsurların devamlılığı esastır. Kurum gerekli gördüğü durumlarda bu unsurların varlığını her zaman kontrol edebilir.
(4) Bu Yönetmelik kapsamında denetim yapma yetkisi verilen firmaların (Değişik ibare:RG-25/11/2025-33088) ünvanları, Kurumun internet sitesinde yayımlanır.";15;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 13;2026-09-09;2023-06-06
14;BOLUM-3;Denetim yapma yetkisinin kaldırılması;"(1) Denetçi firma, (Değişik ibare:RG-28/1/2024-32443) 12 nci madde kapsamında sahip olması gereken nitelikleri gösterir bilgi ve belgeleri altı aylık periyotlarda Kuruma resmî olarak iletmekle yükümlüdür.
(2) Denetçi firma, 12 nci madde kapsamında sahip olması gereken niteliklerin bir veya birkaçını kaybetmesi durumunda en geç bir hafta içerisinde Kurumu resmî olarak bilgilendirir. Söz konusu bilgilendirmenin süresi içinde yapılmadığının tespiti durumunda ilgili firmanın denetim yapma yetkisi sona erdirilir ve tespitin yapıldığı tarihten itibaren ilgili firma üç yıl süre ile denetçi firma yetkisi alamaz.
(3) Denetçi firmanın Kurum tarafından istenilen bilgi ve belgeleri, Kuruma vermemesi halinde denetim yapma yetkisi sona erdirilir.
(4) Firma, denetim yetkisinin sona erdirilmesinin ardından yeniden yetki talebinde bulunursa 12 nci ve 13 üncü madde hükümleri uygulanır.
(5) Bu Yönetmelik kapsamında denetim yapma yetkisi sona erdirilen firmaların (Değişik ibare:RG-25/11/2025-33088) ünvanları Kurumun internet sitesinde yayımlanır.";16;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 14;2026-09-09;2023-06-06
BOLUM-4;;Dördüncü Bölüm · Çeşitli ve Son Hükümler;;17;;;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · Dördüncü Bölüm;2026-09-09;
15;BOLUM-4;Düzenlemeler;"(1) Yükümlü kuruluşların EKS’lere yönelik risklerinin tespiti için yaptırdıkları güvenlik analizi ve testlerinin usul ve esaslarını belirlemeye Kurul yetkilidir.
(2) Enerji sektöründe EKS güvenlik kontrolleri, Kurul tarafından belirlenip Kurum internet sitesinde yayımlanır.";18;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 15;2026-09-09;2023-06-06
16;BOLUM-4;Yürürlükten kaldırılan yönetmelik ve atıflar;"(1) 13/7/2017 tarihli ve 30123 sayılı Resmî Gazete’de yayımlanan Enerji Sektöründe Kullanılan Endüstriyel Kontrol Sistemlerinde Bilişim Güvenliği Yönetmeliği yürürlükten kaldırılmıştır.
(2) Mevzuatta, birinci fıkra ile yürürlükten kaldırılan Enerji Sektöründe Kullanılan Endüstriyel Kontrol Sistemlerinde Bilişim Güvenliği Yönetmeliğine yapılan atıflar bu Yönetmeliğe yapılmış sayılır.";19;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 16;2026-09-09;2023-06-06
GECICI-1;BOLUM-4;Geçiş süreci;"(Ek:RG-25/11/2025-33088)
(1) 1/3/2026 tarihine kadar, yetkinlik modeli denetimleri kapsamında firma yetkilendirmelerinde aşağıdaki şartlardan birine sahip olunması yeterlidir:
a) Bilgi ve İletişim Güvenliği Denetim Rehberinde hizmet alımı ile oluşturulan denetim ekibi için belirlenen kriterlere ek olarak, yetkinlik modeli denetimlerini yapacak firma personelinde Kritik Altyapılar Ulusal Test Yatağı Merkezi tarafından verilen EKS eğitimleri sonrası başarı sertifikası olması.
b) Firmaların 11 inci maddedeki nitelikleri sağlaması.";20;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · GEÇİCİ MADDE 1;2026-09-09;2025-11-25
17;BOLUM-4;Yürürlük;(1) Bu Yönetmelik yayımı tarihinde yürürlüğe girer.;21;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 17;2026-09-09;2023-06-06
18;BOLUM-4;Yürütme;"(1) Bu Yönetmelik hükümlerini Enerji Piyasası Düzenleme Kurumu Başkanı yürütür.
Ekleri için tıklayınız
 Yönetmeliğin Yayımlandığı Resmî Gazete’nin Tarihi Sayısı 6/6/2023 32213 Yönetmelikte Değişiklik Yapan Yönetmeliklerin Yayımlandığı Resmî Gazetelerin Tarihi Sayısı 1. 28/1/2024 32443 2. 8/9/2024 32656 3. 25/11/2025 33088";22;;REGULATION;;;;https://www.epdk.gov.tr/Detay/DownloadDocument?id=zb5%2B5RagUfE%3D;Yönetmelik · MADDE 18;2026-09-09;2023-06-06
